Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABBV,AbbVie Inc. Common Stock,$109.14,0.38,0.349%,192869537562,United States,2012,4613542,Health Care,Other Pharmaceuticals
ABNB,Airbnb Inc. Class A Common Stock,$166.64,-3.86,-2.264%,99383930526,United States,2020,2982349,Capital Goods,Industrial Machinery/Components
ANF,Abercrombie & Fitch Company Common Stock,$38.23,-0.23,-0.598%,2258723096,United States,,957416,Consumer Services,Clothing/Shoe/Accessory Stores
AZN,AstraZeneca PLC American Depositary Shares,$61.79,0.57,0.931%,191442213781,United Kingdom,,3997018,Health Care,Biotechnology: Pharmaceutical Preparations
B,Barnes Group Inc. Common Stock,$41.94,-0.36,-0.851%,2121129047,United States,,76883,Capital Goods,Office Equipment/Supplies/Services
BA,Boeing Company (The) Common Stock,$212.97,-1.37,-0.639%,124832770995,United States,,7068814,Capital Goods,Aerospace
BAC,Bank of America Corporation Common Stock,$47.57,0.74,1.58%,410398403899,United States,,36217158,Finance,Major Banks
BK,The Bank of New York Mellon Corporation Common Stock,$59.71,-0.03,-0.05%,49309771910,United States,,4978548,Finance,Investment Managers
BMY,Bristol-Myers Squibb Company Common Stock,$57.60,-0.21,-0.363%,127993740653,United States,,6882309,Health Care,Biotechnology: Pharmaceutical Preparations
BNED,Barnes & Noble Education Inc Common Stock,$9.98,-0.45,-4.314%,514841553,United States,2015,346847,Consumer Services,Other Specialty Stores
C,Citigroup Inc. Common Stock,$71.37,0.86,1.22%,141619491000,United States,,14621675,Finance,Major Banks
CFLT,Confluent Inc. Class A Common Stock,$67.79,-1.04,-1.511%,17653196340,United States,2021,876627,Technology,EDP Services
CRM,Salesforce.com Inc Common Stock,$292.56,2.75,0.949%,286416240000,United States,2004,2925021,Technology,Computer Software: Prepackaged Software
DAL,Delta Air Lines Inc. Common Stock,$39.74,-0.66,-1.634%,25434149127,United States,,9452655,Transportation,Air Freight/Delivery Services
DALN,DallasNews Corporation Series A Common Stock,$7.15,0.36,5.302%,38270304,United States,,111263,Consumer Services,Newspapers/Magazines
DCT,Duck Creek Technologies Inc. Common Stock,$31.98,-0.21,-0.652%,4180225565,United States,2020,948041,Technology,Retail: Computer Software & Peripheral Equipment
EA,Electronic Arts Inc. Common Stock,$141.07,0.44,0.313%,40145955513,United States,,2495305,Technology,Computer Software: Prepackaged Software
ETSY,Etsy Inc. Common Stock,$241.27,5.29,2.242%,30539183812,United States,2015,1854965,Consumer Services,Catalog/Specialty Distribution
GOOG,Alphabet Inc. Class C Capital Stock,$2772.50,-83.11,-2.91%,1848577971340,United States,2004,1507644,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$2751.33,-86.39,-3.044%,1834462770022,United States,,2527436,Technology,Internet and Information Services
GPRO,GoPro Inc. Class A Common Stock,$8.89,-0.25,-2.735%,1369723132,United States,2014,1855666,Miscellaneous,Industrial Machinery/Components
HOG,Harley-Davidson Inc. Common Stock,$36.90,0.09,0.244%,5676917142,United States,,1405316,Consumer Non-Durables,Motor Vehicles
PFE,Pfizer Inc. Common Stock,$43.16,0.3,0.70%,241984669445,United States,,17174585,Health Care,Biotechnology: Pharmaceutical Preparations
SBUX,Starbucks Corporation Common Stock,$114.55,0.11,0.096%,135065905000,United States,1992,3396042,,
SPOT,Spotify Technology S.A. Ordinary Shares,$252.96,-2.04,-0.80%,48405416796,Luxembourg,2018,988025,Consumer Services,Broadcasting
TM,Toyota Motor Corporation Common Stock,$173.40,-0.62,-0.356%,240275394577,Japan,,206708,Capital Goods,Auto Manufacturing
TSLA,Tesla Inc. Common Stock,$909.68,15.68,1.754%,911287707483,United States,2010,22836342,Capital Goods,Auto Manufacturing
UAL,United Airlines Holdings Inc. Common Stock,$46.73,0.01,0.021%,15131478539,United States,,8551996,Transportation,Air Freight/Delivery Services
UBER,Uber Technologies Inc. Common Stock,$45.51,-0.96,-2.066%,88192760835,,2019,19251447,Technology,EDP Services
UL,Unilever PLC Common Stock,$53.71,0.33,0.618%,138379270758,United Kingdom,,1742813,Consumer Non-Durables,Package Goods/Cosmetics
V,Visa Inc.,$231.23,0.99,0.43%,491783910634,United States,,3786955,Miscellaneous,Business Services
WFC,Wells Fargo & Company Common Stock,$50.66,0.33,0.656%,202484016897,United States,,21511229,Finance,Major Banks
X,United States Steel Corporation Common Stock,$22.88,0.67,3.017%,6180542299,United States,,26651961,Basic Industries,Steel/Iron Ore
ZI,ZoomInfo Technologies Inc. Class A Common Stock,$69.30,-0.55,-0.787%,27146841599,United States,2020,2006077,Technology,Computer Software: Prepackaged Software
